ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,avg_bill,avg_utilization,months_late,Risk_score,Risk_tier,AI_Risk_Prob,default.payment.next.month
1,20000.0,2,2,1,24,1284.0,0.0642,2,25.25933333333333,Low,0.8219126099478932,1
2,120000.0,2,2,2,26,2846.1666666666665,0.023718055555555555,2,24.044874999999998,Low,0.6867768611767094,1
3,90000.0,2,2,2,34,16942.166666666668,0.1882462962962963,0,5.647388888888889,Very Low,0.2607616064707685,0
4,50000.0,2,2,1,37,38555.666666666664,0.7711133333333333,0,23.133399999999998,Low,0.4386214586768334,0
5,50000.0,1,2,1,57,18223.166666666668,0.36446333333333336,0,10.933900000000001,Low,0.33335011148890537,0
6,50000.0,1,1,2,37,39685.666666666664,0.7937133333333333,0,23.8114,Low,0.2697921981448711,0
7,500000.0,1,1,2,29,454099.1666666667,0.9081983333333333,0,27.24595,Low,0.2168191179091753,0
8,100000.0,2,2,2,23,2247.6666666666665,0.022476666666666666,0,0.6743,Very Low,0.3478019863074984,0
9,140000.0,2,3,1,28,10868.666666666666,0.07763333333333333,1,13.995666666666665,Low,0.4787971183040172,0
10,20000.0,1,3,2,35,4486.5,0.224325,0,6.72975,Very Low,0.19748080809954838,0
11,200000.0,2,3,2,34,5744.5,0.0287225,1,12.528341666666666,Low,0.40677687327359807,0
12,260000.0,2,1,2,51,14728.166666666666,0.05664679487179487,1,13.366070512820512,Low,0.3224042029995991,0
13,630000.0,2,2,2,41,6834.5,0.0108484126984127,0,0.325452380952381,Very Low,0.22222421705361484,0
14,70000.0,1,2,2,30,56447.5,0.8063928571428571,4,70.85845238095237,High,0.7863129896605497,1
15,250000.0,1,1,2,29,62265.166666666664,0.24906066666666665,0,7.471819999999999,Very Low,0.11461854898904399,0
16,50000.0,2,3,3,23,32736.0,0.65472,2,42.97493333333333,Medium,0.6546910126627047,0
17,20000.0,1,1,2,24,17693.5,0.884675,4,73.20691666666667,High,0.7548065674992245,1
18,320000.0,1,1,1,49,161002.33333333334,0.5031322916666667,0,15.093968750000002,Low,0.19939973868506897,0
19,360000.0,2,1,1,49,0.0,0.0,1,11.666666666666666,Low,0.7154902253050441,0
20,180000.0,2,1,2,29,0.0,0.0,1,11.666666666666666,Low,0.6385913585421915,0
21,130000.0,2,3,2,39,20647.166666666668,0.15882435897435898,0,4.76473076923077,Very Low,0.22317353414700555,0
22,120000.0,2,2,1,39,316.0,0.0026333333333333334,0,0.079,Very Low,0.573710526874912,1
23,70000.0,2,2,2,26,44245.833333333336,0.6320833333333333,4,65.62916666666666,High,0.9146557648060782,1
24,450000.0,2,1,1,40,4494.166666666667,0.009987037037037037,0,0.2996111111111111,Very Low,0.33318676277425396,1
25,90000.0,1,1,2,23,5310.666666666667,0.05900740740740741,0,1.7702222222222224,Very Low,0.21825123387008405,0
26,50000.0,1,3,2,23,35715.833333333336,0.7143166666666667,0,21.4295,Low,0.4212000253932804,0
27,60000.0,1,1,2,27,-65.66666666666667,-0.0010944444444444445,1,11.666666666666666,Low,0.5605865602285955,1
28,50000.0,2,3,2,30,18711.333333333332,0.37422666666666665,0,11.226799999999999,Low,0.33434982509886424,0
29,50000.0,2,3,1,47,6701.333333333333,0.13402666666666666,0,4.0207999999999995,Very Low,0.3207084671240918,0
30,50000.0,1,1,2,26,16180.333333333334,0.32360666666666665,0,9.7082,Very Low,0.2451218629552719,0
31,230000.0,2,1,2,27,18957.666666666668,0.08242463768115943,0,2.4727391304347828,Very Low,0.16305000125405286,0
32,50000.0,1,2,2,33,25311.5,0.50623,1,26.853566666666666,Low,0.8896747519190896,1
33,100000.0,1,1,2,32,82539.5,0.825395,0,24.76185,Low,0.2668686745634643,0
34,500000.0,2,2,1,54,20957.333333333332,0.04191466666666666,0,1.25744,Very Low,0.16067102548953752,0
35,500000.0,1,1,1,58,9719.666666666666,0.019439333333333333,0,0.58318,Very Low,0.16047223692801363,0
36,160000.0,1,1,2,30,4218.666666666667,0.02636666666666667,0,0.7910000000000001,Very Low,0.3340750496627753,0
37,280000.0,1,2,1,40,178329.5,0.6368910714285714,0,19.10673214285714,Low,0.24340107280574222,0
38,60000.0,2,2,2,22,5379.833333333333,0.08966388888888889,0,2.6899166666666665,Very Low,0.38945728544957375,0
39,50000.0,1,1,2,25,130.0,0.0026,1,11.744666666666665,Low,0.5837429730216538,1
40,280000.0,1,1,2,31,8607.166666666666,0.03073988095238095,1,12.588863095238095,Low,0.38339604643438535,0
41,360000.0,1,1,2,33,275125.1666666667,0.7642365740740741,0,22.927097222222223,Low,0.2989546322707646,0
42,70000.0,2,1,2,25,65476.0,0.9353714285714285,0,28.061142857142855,Low,0.2641994216577274,0
43,10000.0,1,2,2,22,3793.5,0.37935,0,11.380500000000001,Low,0.4656169146709165,0
44,140000.0,2,2,1,37,64189.0,0.45849285714285715,0,13.754785714285715,Low,0.23849482681660794,0
45,40000.0,2,1,2,30,24530.833333333332,0.6132708333333333,1,30.064791666666665,Medium,0.4750497266111461,0
46,210000.0,1,1,2,29,0.0,0.0,0,0.0,Very Low,0.6100073517223992,1
47,20000.0,2,1,2,22,13221.333333333334,0.6610666666666667,1,31.498666666666665,Medium,0.5775127219858428,1
48,150000.0,2,5,2,46,1639.5,0.01093,0,0.3279,Very Low,0.46469810231130926,1
49,380000.0,1,2,2,32,19135.833333333332,0.05035745614035087,0,1.510723684210526,Very Low,0.1307343128030886,0
50,20000.0,1,1,2,24,19301.666666666668,0.9650833333333334,0,28.9525,Low,0.3073918414205421,0
51,70000.0,1,3,2,42,38168.666666666664,0.5452666666666667,5,74.69133333333333,High,0.7710732740638797,1
52,100000.0,2,3,3,43,44197.5,0.441975,0,13.25925,Low,0.22753008732426294,0
